ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.07,0.0,245.0,10.4,56.3,67.0,3.3,79.5,63.2,0.01
0.09,0.07,312.0,11.8,58.7,70.0,3.2,76.6,67.9,1800.0
0.08,0.0,266.0,12.7,60.0,72.0,5.1,123.2,71.2,3.5
0.13,0.0,364.0,10.8,58.5,65.0,7.4,177.6,63.8,0.5
0.07,0.02,255.0,11.1,58.4,66.0,2.7,64.9,64.2,3.0
0.04,0.0,90.0,10.9,58.8,64.0,3.8,90.0,64.8,0.5
0.02,0.0,177.0,8.4,40.4,99.0,6.2,149.3,49.8,1.0
0.04,0.03,178.0,12.7,56.0,83.0,5.4,129.7,61.9,0.01
0.12,0.0,420.0,12.9,57.7,79.0,5.1,121.2,63.4,0.01
0.14,0.0,400.0,11.9,59.4,69.0,6.7,160.7,60.8,3.0
0.17,0.0,594.0,12.8,59.8,73.0,3.2,76.3,68.9,1.0
0.29,0.0,682.0,11.9,71.4,45.0,8.6,207.2,70.1,5.0
0.24,0.0,686.0,11.2,58.5,67.0,10.6,253.3,61.0,0.2
0.05,0.0,206.0,14.2,59.6,82.0,3.1,73.9,69.4,0.01
0.05,0.0,206.0,14.2,59.6,82.0,3.1,73.9,69.4,0.01
0.09,0.0,305.0,12.7,60.4,71.0,4.3,103.9,62.8,0.1
0.09,0.0,305.0,12.7,60.4,71.0,4.3,103.9,62.8,0.01
0.11,0.0,388.0,14.0,58.7,83.0,2.5,59.5,63.5,0.01
0.09,0.0,308.0,12.5,57.5,77.0,4.7,113.1,62.3,1.0
0.21,0.0,622.0,12.5,60.0,71.0,6.0,143.5,62.4,0.02
0.14,0.0,456.0,13.1,58.4,78.0,3.8,90.4,63.7,0.2
0.13,0.0,470.0,12.0,54.3,84.0,5.0,120.5,66.4,0.25
0.14,0.0,462.0,13.6,61.0,74.0,4.4,106.4,63.2,0.5
